Switch#show mac address-table 
        Mac Address Table (Total 498)
------------------------------------------

Vlan    Mac Address       Type       Ports
700     084f.0a89.c90b    DYNAMIC    gpon0/4:20-1
700     788c.b556.86ee    DYNAMIC    gpon0/2:46-1
700     5c09.793a.95d3    DYNAMIC    gpon0/6:25-1
700     c0ff.a89e.337a    DYNAMIC    gpon0/2:36-1
700     cc64.a63e.b0c5    DYNAMIC    gpon0/1:25-1
700     bc3f.8f03.a29d    DYNAMIC    gpon0/5:19-1
700     78dd.335c.76d0    DYNAMIC    gpon0/3:62-1
700     5c09.794d.eb79    DYNAMIC    gpon0/8:10-1
700     e472.e276.4876    DYNAMIC    gpon0/12:25-1
700     6083.e7fd.965b    DYNAMIC    gpon0/4:15-1
700     68cc.6e8f.7b5c    DYNAMIC    gpon0/9:1-1
700     788c.b556.87df    DYNAMIC    gpon0/5:46-1
700     c0e3.fb30.ba11    DYNAMIC    gpon0/8:8-1
700     e482.100f.d70d    DYNAMIC    gpon0/1:98-1
700     10c1.7299.8d41    DYNAMIC    gpon0/2:32-1
700     44a3.c726.9884    DYNAMIC    gpon0/2:66-1
700     788c.b556.7807    DYNAMIC    gpon0/3:51-1
700     0cc6.cc0c.ba1c    DYNAMIC    gpon0/2:11-1
700     a86e.84db.4f04    DYNAMIC    gpon0/2:65-1
700     70c7.f237.8e83    DYNAMIC    gpon0/5:5-1
700     c81f.bec2.2a60    DYNAMIC    gpon0/3:10-1
700     14a0.f854.fbd8    DYNAMIC    gpon0/1:85-1
700     cc64.a61a.6ed7    DYNAMIC    gpon0/3:11-1
700     0c84.0814.474e    DYNAMIC    gpon0/2:74-1
700     ec4d.471d.3514    DYNAMIC    gpon0/9:32-1
700     0c84.0814.a7fe    DYNAMIC    gpon0/3:63-1
700     3458.40e1.5b5f    DYNAMIC    gpon0/4:57-1
700     5c09.7906.0b5d    DYNAMIC    gpon0/1:82-1
700     cc64.a6ce.b346    DYNAMIC    gpon0/9:29-1
1       dc2c.6e4f.7c96    DYNAMIC    g0/1
700     e8ab.f367.0edd    DYNAMIC    gpon0/4:44-1
700     cc64.a6d3.8ca7    DYNAMIC    gpon0/3:72-1
700     1409.dc08.aadf    DYNAMIC    gpon0/5:38-1
700     4857.02b5.8627    DYNAMIC    gpon0/1:61-1
700     20ab.4822.2a8c    DYNAMIC    gpon0/4:18-1
700     cc64.a6e5.6c22    DYNAMIC    gpon0/2:57-1
700     cc64.a6d0.5622    DYNAMIC    gpon0/9:56-1
700     0433.89bb.0ea5    DYNAMIC    gpon0/9:51-1
700     5c09.791e.ce37    DYNAMIC    gpon0/1:5-1
700     3458.40a1.3ffb    DYNAMIC    gpon0/1:95-1
700     d0ef.c1c8.fed0    DYNAMIC    gpon0/4:4-1
700     cc64.a675.35da    DYNAMIC    gpon0/4:29-1
700     a008.6f25.8aac    DYNAMIC    gpon0/9:15-1
700     788c.b556.7dff    DYNAMIC    gpon0/1:70-1
700     28b4.48f0.5304    DYNAMIC    gpon0/5:76-1
700     8cfd.186d.9a3b    DYNAMIC    gpon0/4:21-1
700     5c09.794d.5049    DYNAMIC    gpon0/4:28-1
700     cc64.a697.37c2    DYNAMIC    gpon0/1:42-1
700     74e9.bfd6.3578    DYNAMIC    gpon0/1:69-1
700     a0a3.3b15.858a    DYNAMIC    gpon0/9:3-1
700     c81f.bec4.efac    DYNAMIC    gpon0/9:9-1
700     cc20.8cc5.300f    DYNAMIC    gpon0/3:53-1
700     80b5.7507.3f9c    DYNAMIC    gpon0/12:9-1
700     78dd.3352.4d69    DYNAMIC    gpon0/3:34-1
700     9835.ed06.2583    DYNAMIC    gpon0/9:23-1
700     0433.8971.932f    DYNAMIC    gpon0/3:58-1
700     8866.395a.c7a0    DYNAMIC    gpon0/5:52-1
700     e4dc.cc13.6150    DYNAMIC    gpon0/3:67-1
700     a08c.f619.96e0    DYNAMIC    gpon0/2:73-1
700     e4dc.cc13.a165    DYNAMIC    gpon0/4:53-1
700     cc64.a65a.ea4b    DYNAMIC    gpon0/1:58-1
700     8866.395a.c6d0    DYNAMIC    gpon0/6:26-1
700     cc64.a695.764e    DYNAMIC    gpon0/3:19-1
700     340a.988f.7557    DYNAMIC    gpon0/4:10-1
700     18d6.c75e.2b0f    DYNAMIC    gpon0/6:27-1
700     e472.e2a6.9004    DYNAMIC    gpon0/6:17-1
700     a008.6f7b.5569    DYNAMIC    gpon0/8:25-1
