PON_DESTINO,ZTE_ONU_ID,SN,PPPoE_USER,ONT_MODEL,ONT_MODE
0/1/7,13,HWTCB81A2C9D,rprossi,EG8141A5,ROUTER
0/1/7,14,HWTC2686D81E,gbritos,IC405WSG,ROUTER
0/1/7,16,HWTC2657C01E,nbustos2,IC405WSG,ROUTER
0/1/7,18,HWTC265F311E,cabecerra,IC405WSG,ROUTER
0/1/7,19,HWTC2638191E,gbecerra,IC405WSG,ROUTER
0/1/7,20,HWTC1ADDC29F,pgualazzini,HS8545M5,ROUTER
0/1/7,21,HWTC262F591E,pbertola,IC405WSG,ROUTER
0/1/7,22,HWTC82507D92,vpigaga,IC410WSG,ROUTER
0/1/7,25,HWTC7B5568B4,emaltamirano3,EG8141A5,ROUTER
0/1/7,27,HWTC8A101DA6,dbabosso,EG8141A5,ROUTER
0/1/7,28,HWTC82FA8F92,rssosa,IC410WSG,ROUTER
0/1/7,29,HWTC2632271E,neahumada,IC405WSG,ROUTER
0/1/7,30,HWTC10936AAB,gpaguilar,HG8245H5,ROUTER
0/1/7,31,TPLGB5565700,hjaltamirano,XN020-G3,ROUTER
0/1/7,32,TPLGA26701C0,jfbustos,XN020-G3,ROUTER
0/1/7,33,HWTC050C4E92,egbucco,HG8546M,ROUTER
0/1/7,34,HWTC26E35B1E,clublt,IC405WSG,ROUTER
0/1/7,35,TPLGB55688F8,vmhenrique,XN020-G3,ROUTER
0/1/7,36,TPLGA28D6840,yyacosta,XN020-G3,ROUTER
0/1/7,38,TPLG30C58A00,mbhartvig,XC220-G3,ROUTER
0/1/7,41,HWTC26B24C1E,hbecerra,IC405WSG,ROUTER
0/1/7,42,ZTEGD6D13C91,ehpilnick,F670LV9.0,ROUTER
0/1/7,44,TPLGB5568C30,dgduarte,XN020-G3,ROUTER
0/1/7,45,HWTC178DEF9B,felujan,IC405WSG,ROUTER
0/1/7,46,HWTCAF6E99B1,nbcuello,EG8021V5,BRIDGE
0/1/7,47,HWTCDACD83B1,gebazan,EG8021V5,BRIDGE
0/1/7,48,TPLG84DB5E18,cogiordano,XC220-G3,ROUTER
