PON_DESTINO,ZTE_ONU_ID,SN,PPPoE_USER,ONT_MODEL,ONT_MODE
0/1/6,41,HWTC9173B2A6,emolguin,EG8141A5,ROUTER
0/1/9,16,HWTC266BA51E,afernandez3,IC405WSG,ROUTER
0/1/15,22,HWTC91713BA6,snlezcano,EG8141A5,ROUTER
0/1/6,29,TPLGB5568858,rvfarias,XN020-G3,ROUTER
0/1/14,28,HWTCA3A31EB1,khgaray,EG8021V5,BRIDGE
0/1/14,33,TPLG30C5A858,laltamirano,XC220-G3,ROUTER
0/1/6,10,HWTCAF7212B1,ldarguello,EG8021V5,BRIDGE
0/1/12,10,HWTC3407CBA6,molguin,EG8141A5,ROUTER
0/1/12,38,TPLGE7163A40,dgarrido,XC220-G3v,ROUTER
0/1/6,36,HWTC966510B1,jdtorres,EG8021V5,BRIDGE
0/1/9,38,HWTC2655891E,amettel,IC405WSG,ROUTER
